image_path,rank,color_hex,share
data/latest/images/Balmain_burgundy_runway_2025_54bc7e26686d5059.jpg,5,#ad6a42,0.056655555555555556
data/latest/images/Gucci_Fall_2013_runway_59c0cac10d0a28b8.jpg,1,#090709,0.6197059461805555
data/latest/images/Gucci_Fall_2013_runway_59c0cac10d0a28b8.jpg,2,#292327,0.16142686631944445
data/latest/images/Gucci_Fall_2013_runway_59c0cac10d0a28b8.jpg,3,#545256,0.11168402777777778
data/latest/images/Gucci_Fall_2013_runway_59c0cac10d0a28b8.jpg,4,#7a7b81,0.1030544704861111
data/latest/images/Gucci_Fall_2013_runway_59c0cac10d0a28b8.jpg,5,#d0cfd6,0.004128689236111111
data/latest/images/Balmain_burgundy_runway_2025_8c3557b3c16a3287.jpg,1,#d6d4d7,0.4155479166666667
data/latest/images/Balmain_burgundy_runway_2025_8c3557b3c16a3287.jpg,2,#e7e5e8,0.36651875
data/latest/images/Balmain_burgundy_runway_2025_8c3557b3c16a3287.jpg,3,#252125,0.12792604166666666
data/latest/images/Balmain_burgundy_runway_2025_8c3557b3c16a3287.jpg,4,#5e4842,0.0823375
data/latest/images/Balmain_burgundy_runway_2025_8c3557b3c16a3287.jpg,5,#d03f49,0.007669791666666667
data/latest/images/Balmain_burgundy_runway_2025_bc35800df9cdcf58.webp,1,#e9e8e9,0.3647054036458333
data/latest/images/Balmain_burgundy_runway_2025_bc35800df9cdcf58.webp,2,#d0cccc,0.2848036024305556
data/latest/images/Balmain_burgundy_runway_2025_bc35800df9cdcf58.webp,3,#171516,0.18169996473524305
data/latest/images/Balmain_burgundy_runway_2025_bc35800df9cdcf58.webp,4,#be8070,0.08910454644097222
data/latest/images/Balmain_burgundy_runway_2025_bc35800df9cdcf58.webp,5,#6e3b34,0.07968648274739583
data/latest/images/Balmain_burgundy_runway_2025_a30608ba40f3b7db.jpg,1,#1c1210,0.2757323232323232
data/latest/images/Balmain_burgundy_runway_2025_a30608ba40f3b7db.jpg,2,#e7dcdd,0.2162052341597796
data/latest/images/Balmain_burgundy_runway_2025_a30608ba40f3b7db.jpg,3,#57493e,0.21242232935414754
data/latest/images/Balmain_burgundy_runway_2025_a30608ba40f3b7db.jpg,4,#7c172a,0.16171793694520967
data/latest/images/Balmain_burgundy_runway_2025_a30608ba40f3b7db.jpg,5,#a7928b,0.13392217630853995
data/latest/images/Chanel_haute_couture_2020_215a0f61b7a446e4.jpg,1,#b0aca9,0.2707291666666667
data/latest/images/Chanel_haute_couture_2020_215a0f61b7a446e4.jpg,2,#191f14,0.250234375
data/latest/images/Chanel_haute_couture_2020_215a0f61b7a446e4.jpg,3,#484e39,0.21332682291666666
data/latest/images/Chanel_haute_couture_2020_215a0f61b7a446e4.jpg,4,#8b867b,0.17675130208333334
data/latest/images/Chanel_haute_couture_2020_215a0f61b7a446e4.jpg,5,#dcdbe2,0.08895833333333333
data/latest/images/Chanel_haute_couture_2020_e40cd89f511a66d3.jpg,1,#c6bba9,0.26207454219745224
data/latest/images/Chanel_haute_couture_2020_e40cd89f511a66d3.jpg,2,#1b1f37,0.24844620820063695
data/latest/images/Chanel_haute_couture_2020_e40cd89f511a66d3.jpg,3,#395799,0.2083685808121019
